"isn_seq";"ano";"cod_acao";"titulo";"dt_carga"
"9782";"2014";"00624";"Participação Acionária do Estado - Cogerh";"2014-07-28"
"9783";"2014";"01597";"Pagamento da Dívida Refinanciada Leis: 7976/89 - 8727/93";"2014-07-28"
"9784";"2014";"01598";"Pagamento da Dívida - Lei 9496";"2014-07-28"
"9785";"2014";"01599";"Pagamento da Dívida Contratada para a Educação - Empréstimo BR 4591 - BIRD";"2014-07-28"
"9786";"2014";"01600";"Pagamento da Dívida Interna";"2014-07-28"
"9787";"2014";"01601";"Pagamento da Dívida Externa";"2014-07-28"
"9788";"2014";"01602";"Participação dos Municípios na Compensação Financeira pela Produção de Petróleo";"2014-07-28"
"9789";"2014";"01603";"Participação dos Municípios no Produto das Transferências do IPI-Exportação";"2014-07-28"
"9790";"2014";"01604";"Participação dos Municípios no Produto da Arrecadação do ICMS";"2014-07-28"
"9791";"2014";"01605";"Participação dos Municípios na Arrecadação do IPVA";"2014-07-28"
"9792";"2014";"01606";"Participação Acionária do Estado - METROFOR";"2014-07-28"
"9793";"2014";"01607";"Participação Acionária do Estado - CEARÁPORTOS";"2014-07-28"
"9794";"2014";"01608";"Participação Acionária do Estado - ADECE";"2014-07-28"
"9795";"2014";"01609";"Participação Acionária do Estado - EMAZP";"2014-07-28"
"9796";"2014";"01610";"Participação Acionária do Estado";"2014-07-28"
"9797";"2014";"01612";"Obrigações Especiais Devidas pelo Estado";"2014-07-28"
"9798";"2014";"01613";"Concessão do PASEP";"2014-07-28"
"9799";"2014";"01614";"Gestão da Concessão de Incentivos";"2014-07-28"
"9800";"2014";"01616";"Pagamento de Precatórios - FUNCEME";"2014-07-28"
"9801";"2014";"01617";"Manutenção do Hospital Regional do Cariri Executado por meio de Contrato de Ges";"2014-07-28"
"9802";"2014";"01618";"Manutenção do Hospital Regional Norte Executado por meio de Contrato de Gestão";"2014-07-28"
"9803";"2014";"01619";"Manutenção do Hospital Geral Dr. Waldemar de Alcântara Executado por meio de Co";"2014-07-28"
"9804";"2014";"10003";"MODERNIZACAO E ESTRUTURACAO DA INFRA-ESTRUTURA DA SECREtaria da Cultura";"2014-07-28"
"9805";"2014";"10025";"AQUISICAO DE VEICULOS";"2014-07-28"
"9806";"2014";"10027";"MODERNIZACAO DA ESTRUTURA  FISICA E OPERACIONAL  DO ORGAO";"2014-07-28"
"9807";"2014";"10054";"ESTRUTURACAO DE ABASTECIMENTO DE AGUA EM LOCALIDADES URbanas";"2014-07-28"
"9808";"2014";"10055";"ESTRUTURACAO DE ESGOTAMENTO SANITARIO EM LOCALIDADES URbanas";"2014-07-28"
"9809";"2014";"10056";"ESTRUTURACAO DE ABASTECIMENTO DE AGUA EM LOCALIDADES RURAIS";"2014-07-28"
"9810";"2014";"10058";"GESTAO DE SANEAMENTO";"2014-07-28"
"9811";"2014";"10059";"ESTRUTURACAO DE DESTINO FINAL DE RESIDUOS SOLIDOS";"2014-07-28"
"9812";"2014";"10062";"Financiamento de Subprojetos de Infra-Estrutura(Abastecimento D´Água)";"2014-07-28"
"9813";"2014";"10089";"INFRA-ESTRUTURA BASICA SANITARIA";"2014-07-28"
"9814";"2014";"10208";"Melhoria da Infra-Estrutura da Sefaz.";"2014-07-28"
"9815";"2014";"10232";"IMPLANTACAO DE OBRAS URBANAS";"2014-07-28"
"9816";"2014";"10260";"CONSTRUCAO / REFORMA DE PREDIOS PUBLICOS";"2014-07-28"
"9817";"2014";"10263";"Modernização e Reaparelhamento do Policiamento do Ronda";"2014-07-28"
"9818";"2014";"10266";"EXPANSAO E MELHORIA DA INFRA-ESTRUTURA DAS UNIDADES DO ENSINO MEDIO";"2014-07-28"
"9819";"2014";"10270";"PAVIMENTACAO DE RODOVIAS - OBRAS CIVIS";"2014-07-28"
"9820";"2014";"10271";"REABILITACAO DE RODOVIAS - OBRAS CIVIS";"2014-07-28"
"9821";"2014";"10272";"SUPERVISAO DE OBRAS - OBRAS CIVIS";"2014-07-28"
"9822";"2014";"10275";"Fortalecimento Institucional";"2014-07-28"
"9823";"2014";"10292";"CONSTRUCAO DAS UNIDADES DA POLICIA CIVIL";"2014-07-28"
"9824";"2014";"10294";"Construção das Unidades do Corpo de Bombeiros";"2014-07-28"
"9825";"2014";"10295";"DESENVOLVIMENTO DE PRODUTOS TURISTICOS E ORDENAMENTO TErritorial para o Turismo";"2014-07-28"
"9826";"2014";"10296";"CAPACITACAO DE SERV PUBLICOS - FORMAçãO CONT, QUALIFICACAO E REQUALIF";"2014-07-28"
"9827";"2014";"10309";"IMPLANTACAO DO PLANO ESTRATEGICO DO ESTADO - PEE";"2014-07-28"
"9828";"2014";"10317";"Modernização da Frota de Veículos das Unidades Ligadas ao Gabinete da SSPDS";"2014-07-28"
"9829";"2014";"10318";"MODERNIZACAO DA FROTA DE VEICULOS DAS UNIDADES DA POLICia Civil";"2014-07-28"
"9830";"2014";"10319";"AMPLIACAO E MODERNIZACAO DAS INSTALACOES FISICAS DO COLEGIO MILITAR DO CORPO DE";"2014-07-28"
"9831";"2014";"10323";"Reaparelhamento e Modernização das Unidades Ligadas ao Gabinete da SSPDS";"2014-07-28"
"9832";"2014";"10324";"REAPARELHAMENTO E MODERNIZACAO DAS UNIDADES DA POLICIA Civil";"2014-07-28"
"9833";"2014";"10325";"REAPARELHAMENTO E MODERNIZACAO DAS UNIDADES DA POLICIA Militar";"2014-07-28"
"9834";"2014";"10326";"REAPARELHAMENTO E MODERNIZACAO DAS UNIDADES DO CORPO DE Bombeiros";"2014-07-28"
"9835";"2014";"10327";"ADEQUACAO DOS ESPACOS PUBLICOS AS NORMAS DA ACESSIBILIDade";"2014-07-28"
"9836";"2014";"10328";"Reaparelhamento e Modernização das Unidades da Perícia Forense";"2014-07-28"
"9837";"2014";"10330";"Construção, Reforma e Ampliação das Unidades da Perícia Forense";"2014-07-28"
"9838";"2014";"10331";"Reaparelhamento e Modernização da Coordenadoria Integrada de Operações de Segur";"2014-07-28"
"9839";"2014";"10337";"Reaparelhamento e Modernização das Unidades Policiais para Atendimento Especial";"2014-07-28"
"9840";"2014";"10340";"IMPLANTACAO DA INFRAESTRUTURA DE BARRAGEM, DRAGAGEM E URBANIZACAO - PROJETO MAR";"2014-07-28"
"9841";"2014";"10342";"CONSTRUCAO DE HABITACOES COM APOIO FINANCEIRO DO PROGRAMA CC FGTS-OPERACOES COL";"2014-07-28"
"9842";"2014";"10351";"MODERNIZACAO DA ESTRUTURA OPERACIONAL DA FISCALIZACAO E SINALIZACAO DE TRANSITO";"2014-07-28"
"9843";"2014";"10354";"IMPLEMENTACAO DE ACOES E PROJETOS EDUCATIVOS DE TRANSITo";"2014-07-28"
"9844";"2014";"10355";"MODERNIZACAO DO PARQUE TECNICO DA  TV CEARA";"2014-07-28"
"9845";"2014";"10356";"FOMENTO A PRATICA ESPORTIVA NAS ESCOLAS";"2014-07-28"
"9846";"2014";"10364";"Reforma e Ampliação das Unidades da Policia Militar";"2014-07-28"
"9847";"2014";"10371";"CONSTRUCAO, REFORMA E REAPARELHAMENTO DA SEDE DO TCE";"2014-07-28"
"9848";"2014";"10373";"MODERNIZACAO DA CAPACIDADE INSTITUCIONAL DO TRIBUNAL DECONTAS DO ESTADO DO CEAR";"2014-07-28"
"9849";"2014";"10378";"AQUISICAO DE BENS E SERVICOS PARA TECNOLOGIA DA INFORTI";"2014-07-28"
"9850";"2014";"10380";"INFRA-ESTRUTURA PARA O EMPREENDIMENTO TURISTICO  AQUIRAz Golf & Beach Villas"" -";"2014-07-28"
"9851";"2014";"10408";"ADEQUACAO, RECUPERACAO E REFORMA DAS INSTALACOES DO ISSES";"2014-07-28"
"9852";"2014";"10421";"REFORCO A ESTRUTURACAO, ADEQUACAO, FISICA E TECNOLOGICADA ATENCAO NOS NIVEIS SE";"2014-07-28"
"9853";"2014";"10427";"Edificações P?blicas - Pge";"2014-07-28"
"9854";"2014";"10428";"Construção, Ampliação,  Aquisição  e Equipamento de Instalações Físicas do Mini";"2014-07-28"
"9855";"2014";"10433";"IMPLANTACAO E REFORMA DE EQUIPAMENTOS E INSTALACOES ESPortivas";"2014-07-28"
"9856";"2014";"10438";"APOIO AS MICROFINANCAS";"2014-07-28"
"9857";"2014";"10463";"MANUTENCAO DOS EQUIPAMENTOS ESPORTIVOS";"2014-07-28"
"9858";"2014";"10467";"PROMOCAO DA PRATICA ESPORTIVA PARTICIPATIVA";"2014-07-28"
"9859";"2014";"10473";"CAPACITACAO PARA O TURISMO NO AMBITO DO PRODETUR";"2014-07-28"
"9860";"2014";"10475";"ESTRUTURA E ADEQUACAO FISICA E TECNOLOGICA DE AREAS ADMinistrativas";"2014-07-28"
"9861";"2014";"10485";"Modernização da Estrutura Física e Operacional da Entidade";"2014-07-28"
"9862";"2014";"10496";"FORMACAO EM ARTE E CULTURA";"2014-07-28"
"9863";"2014";"10500";"ASSISTENCIA JURIDICA ITINERANTE";"2014-07-28"
"9864";"2014";"10501";"PROTECAO E CONSERVACAO DO PATRIMONIO CULTURAL";"2014-07-28"
"9865";"2014";"10514";"CONSTRUCAO E APARELHAMENTO DA SEDE DA DPG";"2014-07-28"
"9866";"2014";"10521";"ESTRUTURACAO DO SISTEMA DE TRANSPORTE E RODOVIA";"2014-07-28"
"9867";"2014";"10526";"QUALIFICACAO DE PRESSOS E EGRESSOS";"2014-07-28"
"9868";"2014";"10528";"MODERNIZACAO E ESTRUTURACAO DA SECRETARIA DO ESPORTE";"2014-07-28"
"9869";"2014";"10530";"AQUISICAO DE ACERVOS PARA BIBLIOTECAS PUBLICAS";"2014-07-28"
"9870";"2014";"10532";"MODERNIZACAO DA ESTRUTURA FISICA E OPERACIONAL DA INSTITUICAO.";"2014-07-28"
"9871";"2014";"10541";"IMPLANTACAO E DINAMIZACAO DE ESPACOS VIRTUAIS DE LEITURA E REFLEXAO - (E-LER)";"2014-07-28"
"9872";"2014";"10542";"Desenvolvimento do Projeto Agentes da Leitura do Ceará";"2014-07-28"
"9873";"2014";"10546";"CENTRO MULTIFUNCIONAL DE EVENTOS E CAPTACAO DE NEGOCIOS";"2014-07-28"
"9874";"2014";"10553";"MODERNIZACAO DA INFRA-ESTRUTURA, DAS INSTALACOES FISICAs e dos Equipamentos";"2014-07-28"
"9875";"2014";"10555";"IMPLANTACAO DE INFRA-ESTRUTURA TURISTICA PARA O EMPREENdimento Cumbuco Golf Res";"2014-07-28"
"9876";"2014";"10557";"AQUISICAO DE BENS E SERVICOS PARA TECNOLOGIA DA INFORMACAO";"2014-07-28"
"9877";"2014";"10564";"MANUTENCAO DO  SISTEMA DE RETRANSMISSAO DE TV";"2014-07-28"
"9878";"2014";"10567";"REAPARELHAMENTO E MODERNIZACAO DO COLEGIO DA POLICIA MILITAR DO CEARA";"2014-07-28"
"9879";"2014";"10568";"Modernização da Infra-Estrutura da Pecuária";"2014-07-28"
"9880";"2014";"10569";"IMPLANTACAO DE ELETRIFICACAO RURAL";"2014-07-28"
"9881";"2014";"10571";"IMPLANTACAO DE TELEFONES PUBLICOS";"2014-07-28"
"9882";"2014";"10576";"Construção de Cadeias P?blicas";"2014-07-28"
"9883";"2014";"10580";"PROMOCAO DA PRATICA ESPORTIVA PARA PESSOAS COM DEFICIENCIA";"2014-07-28"
"9884";"2014";"10587";"Construção de Penitenciárias";"2014-07-28"
"9885";"2014";"10588";"Reforma E/Ou Ampliação de Penitenciárias";"2014-07-28"
"9886";"2014";"10604";"AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS, MATERIAIS PERMAnentes para a Funtelc";"2014-07-28"
"9887";"2014";"10605";"Reforma E/Ou Ampliação de Cadeias P?blicas";"2014-07-28"
"9888";"2014";"10606";"INCLUSAO SOCIAL E PRODUTIVA DE FAMILAS CEARENSES CADASTRADAS NO CAD UNICO";"2014-07-28"
"9889";"2014";"10624";"IMPLANTACAO, RECUPERACAO, MODERNIZACAO, CONSERVACAO E POS  USO DE BENS DE RELEV";"2014-07-28"
"9890";"2014";"10629";"MODERNIZACAO DA ARCE";"2014-07-28"
"9891";"2014";"10632";"EXECUCAO DO CONTRATO DE GESTAO COM ORGANIZACOES SOCIAIS(Os)";"2014-07-28"
"9892";"2014";"10641";"FORTALECIMENTO DA ESTRUTURA DE APOIO TECNOLOGICO";"2014-07-28"
"9893";"2014";"10643";"IMPLANTACAO DE CORREIAS TRANSPORTADORAS";"2014-07-28"
"9894";"2014";"10645";"AQUISICAO E INSTALACAO DE EQUIPAMENTOS";"2014-07-28"
"9895";"2014";"10650";"ELABORACAO DE ESTUDOS, PLANOS, PROJETOS E CONS TEC";"2014-07-28"
"9896";"2014";"10671";"MELHORIA DA APRENDIZAGEM DOS ALUNOS DO ENSINO MEDIO";"2014-07-28"
"9897";"2014";"10675";"EXPANSAO DO ATENDIMENTO E MELHORIA DA QUALIDADE DA EDUCação de Jovens e Adultos";"2014-07-28"
"9898";"2014";"10680";"FORTALECIMENTO E ACOMPANHAMENTO DA GESTAO EDUCACIONAL NO ENSINO MEDIO";"2014-07-28"
"9899";"2014";"10685";"DESENVOLVIMENTO DAS ACOES DE PLANEJAMENTO, PROJETOS E AVALIACOES EDUCACIONAIS";"2014-07-28"
"9900";"2014";"10690";"EXPANSAO E MELHORIA DO PARQUE TECNOLOGICO DA SEDUC/CREDe e Escolas";"2014-07-28"
"9901";"2014";"10691";"Aquisição de Móveis, Equipamentos e Veículos para os Estabelecimentos Prisionai";"2014-07-28"
"9902";"2014";"10697";"Modernização da Frota de Veículos das Unidades da Polícia Militar";"2014-07-28"
"9903";"2014";"10699";"IMPLANTACAO/MODERNIZACAO E DINAMIZACAO DE EQUIPAMENTOS Culturais";"2014-07-28"
"9904";"2014";"10702";"Implantação de Infra-Estrutura Básica e Hidroagrícola";"2014-07-28"
"9905";"2014";"10705";"COOPERACAO ENTRE ESTADO E MUNICIPIOS - ALFABETIZACAO NA IDADE CERTA (CRIANCAS D";"2014-07-28"
"9906";"2014";"10723";"Aquisição de Equipamentos, Móveis, Materiais e Veículos para a Sede da Sejus";"2014-07-28"
